,event_source_concept_id,event_source_type_concept_id
61,A10AB04,drug_exposure_administration
62,A06AD11,drug_exposure_administration
63,A03FA01,drug_exposure_administration
64,ACQK001,procedure_occurrence
65,S01XA20,drug_exposure_administration
66,EQLF003,procedure_occurrence
67,A07AA07,drug_exposure_administration
68,G04CA01,drug_exposure_administration
69,N07BA01,drug_exposure_administration
70,GLLD015,procedure_occurrence
71,N05CH01,drug_exposure_administration
72,DZQM006,procedure_occurrence
73,A02AH,drug_exposure_administration
74,Z511,condition_occurrence
75,GLLD008,procedure_occurrence
76,N06AX03,drug_exposure_administration
77,Z290,condition_occurrence
78,C09CA04,drug_exposure_administration
79,HSLD001,procedure_occurrence
80,C01BD01,drug_exposure_administration
81,B05BA10,drug_exposure_administration
82,Z501,condition_occurrence
83,N03AX12,drug_exposure_administration
84,N05AH01,drug_exposure_administration
85,B01AC04,drug_exposure_administration
86,DZQM005,procedure_occurrence
87,N03AG01,drug_exposure_administration
88,J05AB11,drug_exposure_administration
89,J01DE01,drug_exposure_administration
90,ZCQH001,procedure_occurrence
91,Z512,condition_occurrence
92,A12CX,drug_exposure_administration
93,A06AA01,drug_exposure_administration
94,R03AK06,drug_exposure_administration
95,A10BX02,drug_exposure_administration
96,P01AB01,drug_exposure_administration
97,ZZQH033,procedure_occurrence
98,C07AA05,drug_exposure_administration
99,J01DD04,drug_exposure_administration
100,E559,condition_occurrence
101,J01EE01,drug_exposure_administration
102,A07XA04,drug_exposure_administration
103,C09AA04,drug_exposure_administration
104,R06AE07,drug_exposure_administration
105,ZZLP025,procedure_occurrence
106,N06AB10,drug_exposure_administration
107,E1198,condition_occurrence
108,N05CD08,drug_exposure_administration
109,G04CA02,drug_exposure_administration
110,J01FA02,drug_exposure_administration
111,N06AX16,drug_exposure_administration
112,ZZQX188,procedure_occurrence
113,N03AX09,drug_exposure_administration
114,D02AC,drug_exposure_administration
115,H02AB02,drug_exposure_administration
116,N01BB02,drug_exposure_administration
117,U0710,condition_occurrence
118,A06AG20,drug_exposure_administration
119,N05AX08,drug_exposure_administration
120,G473,condition_occurrence
121,ZZQM005,procedure_occurrence
122,C03AA03,drug_exposure_administration
123,N06AB05,drug_exposure_administration
124,NKR+117,procedure_occurrence
125,A11DA01,drug_exposure_administration
126,C03DA01,drug_exposure_administration
127,ZZQP004,procedure_occurrence
128,N05AA01,drug_exposure_administration
129,A09AA02,drug_exposure_administration
130,E440,condition_occurrence
131,Z713,condition_occurrence
132,ECQH010,procedure_occurrence
133,E43,condition_occurrence
134,YYYY020,procedure_occurrence
135,N05BA06,drug_exposure_administration
136,ZZQX162,procedure_occurrence
137,N05AA06,drug_exposure_administration
138,N06AA09,drug_exposure_administration
139,C10AA07,drug_exposure_administration
140,M01AE01,drug_exposure_administration
141,C08CA13,drug_exposure_administration
142,J01DH02,drug_exposure_administration
143,S03D,drug_exposure_administration
144,A11HA01,drug_exposure_administration
145,B01AF01,drug_exposure_administration
146,N02BA01,drug_exposure_administration
147,JDLD001,procedure_occurrence
148,V06DA,drug_exposure_administration
149,GLLD019,procedure_occurrence
150,ZBQK001,procedure_occurrence
151,CER+223,procedure_occurrence
152,H02AB09,drug_exposure_administration
153,R296,condition_occurrence
154,AFLB010,procedure_occurrence
155,C10AA01,drug_exposure_administration
156,A10AB01,drug_exposure_administration
157,N05BA08,drug_exposure_administration
158,C07AB04,drug_exposure_administration
159,J01FF01,drug_exposure_administration
160,A12AX,drug_exposure_administration
161,B01AB10,drug_exposure_administration
162,JDJD001,procedure_occurrence
163,D01AC03,drug_exposure_administration
164,M04AA01,drug_exposure_administration
165,N05BA09,drug_exposure_administration
166,N02AJ06,drug_exposure_administration
167,JQQP001,procedure_occurrence
168,A12AA04,drug_exposure_administration
169,R53+0,condition_occurrence
170,A10BH01,drug_exposure_administration
171,ZZQX128,procedure_occurrence
172,Z741,condition_occurrence
173,ZZQP001,procedure_occurrence
174,JVJF004,procedure_occurrence
175,C07AB12,drug_exposure_administration
176,C09CA03,drug_exposure_administration
177,Z098,condition_occurrence
178,H02AB04,drug_exposure_administration
179,NAQK015,procedure_occurrence
180,R268,condition_occurrence
181,C09CA06,drug_exposure_administration
182,H02AB06,drug_exposure_administration
183,N06AB03,drug_exposure_administration
184,J05AB01,drug_exposure_administration
185,GLLD003,procedure_occurrence
186,A12CC08,drug_exposure_administration
187,HEQE002,procedure_occurrence
188,R410,condition_occurrence
189,R03AC02,drug_exposure_administration
190,R05CB01,drug_exposure_administration
191,Z,drug_exposure_administration
192,Z5188,condition_occurrence
193,R03AK07,drug_exposure_administration
194,YYYY300,procedure_occurrence
195,R060,condition_occurrence
196,I480,condition_occurrence
197,V03AE01,drug_exposure_administration
198,EPLF002,procedure_occurrence
199,R262,condition_occurrence
200,R06AD01,drug_exposure_administration
201,E039,condition_occurrence
202,Z370,condition_occurrence
203,N05AL05,drug_exposure_administration
204,Z751,condition_occurrence
205,C509,condition_occurrence
206,A06AX02,drug_exposure_administration
207,Z6020,condition_occurrence
208,ZZQM004,procedure_occurrence
209,ACQN001,procedure_occurrence
210,C07AB03,drug_exposure_administration
211,B01AA03,drug_exposure_administration
212,A10BB09,drug_exposure_administration
213,N185,condition_occurrence
214,R104,condition_occurrence
215,PCM+283,procedure_occurrence
216,J01XA01,drug_exposure_administration
217,E785,condition_occurrence
218,S01XA02,drug_exposure_administration
219,S01EE01,drug_exposure_administration
220,L04AA06,drug_exposure_administration
221,Z5101,condition_occurrence
222,E1190,condition_occurrence
223,ZGR+255,procedure_occurrence
224,YYYY015,procedure_occurrence
225,A07DA03,drug_exposure_administration
226,B01AC24,drug_exposure_administration
227,Z508,condition_occurrence
228,EQLF002,procedure_occurrence
229,N06AX21,drug_exposure_administration
230,M04AC01,drug_exposure_administration
231,A07BC05,drug_exposure_administration
232,ENLF001,procedure_occurrence
233,J01DB04,drug_exposure_administration
234,C61,condition_occurrence
235,R03BA02,drug_exposure_administration
236,N06AB04,drug_exposure_administration
237,I255,condition_occurrence
238,E780,condition_occurrence
239,HSLF002,procedure_occurrence
240,A12BA05,drug_exposure_administration
241,R33,condition_occurrence
242,A11HA02,drug_exposure_administration
243,GELD005,procedure_occurrence
244,N179,condition_occurrence
245,Z921,condition_occurrence
246,R520,condition_occurrence
247,ACQJ002,procedure_occurrence
248,J128,condition_occurrence
249,N06AX11,drug_exposure_administration
250,C10AA03,drug_exposure_administration
251,ZZQX069,procedure_occurrence
252,N07CA04,drug_exposure_administration
253,ZZQX027,procedure_occurrence
254,J01MA01,drug_exposure_administration
255,Z391,condition_occurrence
256,NFQK001,procedure_occurrence
257,N05AD01,drug_exposure_administration
258,N06AB06,drug_exposure_administration
259,J01MA12,drug_exposure_administration
260,Z491,condition_occurrence
261,M03BX01,drug_exposure_administration
262,A11CC05,drug_exposure_administration
263,DDQH009,procedure_occurrence
264,B962,condition_occurrence
265,ABQP001,procedure_occurrence
266,I489,condition_occurrence
267,Z955,condition_occurrence
268,J9600,condition_occurrence
269,Z358,condition_occurrence
270,ANMP001,procedure_occurrence
271,V03AX10,drug_exposure_administration
272,R53+2,condition_occurrence
273,C349,condition_occurrence
274,B02BA01,drug_exposure_administration
275,I259,condition_occurrence
276,C08DB01,drug_exposure_administration
277,ZZQX077,procedure_occurrence
278,Z489,condition_occurrence
279,NAQK071,procedure_occurrence
280,I482,condition_occurrence
281,V07AZ,drug_exposure_administration
282,N189,condition_occurrence
283,FELF011,procedure_occurrence
284,C787,condition_occurrence
285,YYYY028,procedure_occurrence
286,GLLD012,procedure_occurrence
287,G301,condition_occurrence
288,J01MA02,drug_exposure_administration
289,N183,condition_occurrence
290,C10AX09,drug_exposure_administration
291,A05AA02,drug_exposure_administration
292,ZCQM008,procedure_occurrence
293,N03AX18,drug_exposure_administration
294,PBR+256,procedure_occurrence
295,S7200,condition_occurrence
296,ZZR+079,procedure_occurrence
297,F329,condition_occurrence
298,J01XX09,drug_exposure_administration
299,E86,condition_occurrence
300,B03AC,drug_exposure_administration
301,ZZQN002,procedure_occurrence
302,Z740,condition_occurrence
303,J01FA01,drug_exposure_administration
304,B05XA01,drug_exposure_administration
305,D509,condition_occurrence
306,J459,condition_occurrence
307,F322,condition_occurrence
308,C09AA02,drug_exposure_administration
309,ZCQK004,procedure_occurrence
310,R392,condition_occurrence
311,B01AA12,drug_exposure_administration
312,R13,condition_occurrence
313,NGQK001,procedure_occurrence
314,HSLD002,procedure_occurrence
315,C08DA01,drug_exposure_administration
316,S01AX16,drug_exposure_administration
317,N05AH04,drug_exposure_administration
318,N02AJ13,drug_exposure_administration
319,C01BC04,drug_exposure_administration
320,A10BD07,drug_exposure_administration
321,K590,condition_occurrence
322,J01CF02,drug_exposure_administration
323,J960,condition_occurrence
324,Z04801,condition_occurrence
325,S01FA01,drug_exposure_administration
326,C09DA04,drug_exposure_administration
327,J159,condition_occurrence
328,E6604,condition_occurrence
329,L01XX05,drug_exposure_administration
330,MAQK003,procedure_occurrence
331,N05BA11,drug_exposure_administration
332,C02AC06,drug_exposure_administration
333,J04AB02,drug_exposure_administration
334,GLQP002,procedure_occurrence
335,O800,condition_occurrence
336,I7020,condition_occurrence
337,B05XC,drug_exposure_administration
338,F102,condition_occurrence
339,I269,condition_occurrence
340,J02AC01,drug_exposure_administration
341,R5218,condition_occurrence
342,J04AK02,drug_exposure_administration
343,ZZQP003,procedure_occurrence
344,D62,condition_occurrence
345,D508,condition_occurrence
346,V03AF03,drug_exposure_administration
347,J90,condition_occurrence
348,J01DH51,drug_exposure_administration
349,AGR+047,procedure_occurrence
350,S01ED51,drug_exposure_administration
351,N02BE51,drug_exposure_administration
352,JVJF002,procedure_occurrence
353,N40,condition_occurrence
354,R074,condition_occurrence
355,C07AG01,drug_exposure_administration
356,F100,condition_occurrence
357,N05AH03,drug_exposure_administration
358,F067,condition_occurrence
359,E8718,condition_occurrence
360,N02AB03,drug_exposure_administration
361,ZZQX081,procedure_occurrence
362,JCLE002,procedure_occurrence
363,C05AX03,drug_exposure_administration
364,AMQP015,procedure_occurrence
365,F412,condition_occurrence
366,D648,condition_occurrence
367,A12CC06,drug_exposure_administration
368,G20,condition_occurrence
369,N03AF01,drug_exposure_administration
370,C01DA02,drug_exposure_administration
371,BGQP007,procedure_occurrence
372,Z480,condition_occurrence
373,A10AE05,drug_exposure_administration
374,N10,condition_occurrence
375,N390,condition_occurrence
376,J690,condition_occurrence
377,U0713,condition_occurrence
378,Z950,condition_occurrence
379,C07AA07,drug_exposure_administration
380,G04CB01,drug_exposure_administration
381,G04BD04,drug_exposure_administration
382,YYYY033,procedure_occurrence
383,AGR+102,procedure_occurrence
384,JMCA002,procedure_occurrence
385,NKR+006,procedure_occurrence
386,HHFA016,procedure_occurrence
387,DKR+061,procedure_occurrence
388,F172,condition_occurrence
389,B03BA01,drug_exposure_administration
390,F411,condition_occurrence
391,NEQK010,procedure_occurrence
392,J04AM05,drug_exposure_administration
393,ABCB001,procedure_occurrence
394,S01EC03,drug_exposure_administration
395,Z924,condition_occurrence
396,I509,condition_occurrence
397,C780,condition_occurrence
398,LFQK002,procedure_occurrence
399,LHQK001,procedure_occurrence
400,J01DD02,drug_exposure_administration
401,R2630,condition_occurrence
402,H04AA01,drug_exposure_administration
403,Z5130,condition_occurrence
404,ALM+126,procedure_occurrence
405,L04AD02,drug_exposure_administration
406,Z966,condition_occurrence
407,A02BC05,drug_exposure_administration
408,C09CA01,drug_exposure_administration
409,ZZR+020,procedure_occurrence
410,V03AN01,drug_exposure_administration
411,Z488,condition_occurrence
412,Z04802,condition_occurrence
413,S01GX03,drug_exposure_administration
414,S01CA01,drug_exposure_administration
415,R11,condition_occurrence
416,Z742,condition_occurrence
417,I500,condition_occurrence
418,HHQE005,procedure_occurrence
419,J01CE02,drug_exposure_administration
420,HZHE002,procedure_occurrence
421,R53+1,condition_occurrence
422,EQQM001,procedure_occurrence
423,A10BB12,drug_exposure_administration
424,Z940,condition_occurrence
425,GGJB001,procedure_occurrence
426,PER+285,procedure_occurrence
427,JQGD010,procedure_occurrence
428,E538,condition_occurrence
429,R509,condition_occurrence
430,N06AA04,drug_exposure_administration
431,PER+096,procedure_occurrence
432,ZCQK002,procedure_occurrence
433,ZZNL051,procedure_occurrence
434,E8768,condition_occurrence
435,D500,condition_occurrence
436,JQGD012,procedure_occurrence
437,N07XX02,drug_exposure_administration
438,EBQH004,procedure_occurrence
439,JNJD002,procedure_occurrence
440,I639,condition_occurrence
441,T818,condition_occurrence
442,ZCQM001,procedure_occurrence
443,G04CA04,drug_exposure_administration
444,DERP005,procedure_occurrence
445,ZGT+136,procedure_occurrence
446,JVJF005,procedure_occurrence
447,ZBQH001,procedure_occurrence
448,PCR+285,procedure_occurrence
449,NZQK002,procedure_occurrence
450,N05AX12,drug_exposure_administration
451,L04AD01,drug_exposure_administration
452,R03AL04,drug_exposure_administration
453,R06AB02,drug_exposure_administration
454,R471,condition_occurrence
455,A03AA05,drug_exposure_administration
456,A01AD11,drug_exposure_administration
457,YYYY012,procedure_occurrence
458,R5210,condition_occurrence
459,F1724,condition_occurrence
460,E6605,condition_occurrence
461,N05AL03,drug_exposure_administration
462,HMFC004,procedure_occurrence
463,I64,condition_occurrence
464,D649,condition_occurrence
465,N04AA12,drug_exposure_administration
466,C09DX04,drug_exposure_administration
467,EQQF002,procedure_occurrence
468,ZFR+002,procedure_occurrence
469,I251,condition_occurrence
470,R650,condition_occurrence
471,F001,condition_occurrence
472,NKR+174,procedure_occurrence
473,GELD004,procedure_occurrence
474,N04BA03,drug_exposure_administration
475,N01AX10,drug_exposure_administration
476,R270,condition_occurrence
477,K760,condition_occurrence
478,NEKA020,procedure_occurrence
479,D07AC01,drug_exposure_administration
480,I951,condition_occurrence
481,G04BD09,drug_exposure_administration
482,ACQH003,procedure_occurrence
483,Z993,condition_occurrence
484,J189,condition_occurrence
485,J05AF07,drug_exposure_administration
486,DDAF008,procedure_occurrence
487,PER+250,procedure_occurrence
488,I501,condition_occurrence
489,E8758,condition_occurrence
490,I350,condition_occurrence
491,EQQP004,procedure_occurrence
492,V03AE02,drug_exposure_administration
493,NCQK001,procedure_occurrence
494,E872,condition_occurrence
495,GLLD004,procedure_occurrence
496,PZL+208,procedure_occurrence
497,J448,condition_occurrence
498,BGQP002,procedure_occurrence
499,AAQP350,procedure_occurrence
500,HBQK002,procedure_occurrence
501,R51,condition_occurrence
502,N01AH03,drug_exposure_administration
503,A01AB09,drug_exposure_administration
504,K509,condition_occurrence
505,R634,condition_occurrence
506,A16AX02,drug_exposure_administration
507,BZQK001,procedure_occurrence
508,GERD001,procedure_occurrence
509,C795,condition_occurrence
510,J01FG01,drug_exposure_administration
511,O244,condition_occurrence
512,H01CB02,drug_exposure_administration
513,R571,condition_occurrence
514,A11HA03,drug_exposure_administration
515,ZCQC002,procedure_occurrence
516,GLJF010,procedure_occurrence
517,R451,condition_occurrence
518,T810,condition_occurrence
519,E6606,condition_occurrence
520,GLLD013,procedure_occurrence
521,YYYY260,procedure_occurrence
522,B05XA05,drug_exposure_administration
523,C01AA05,drug_exposure_administration
524,J449,condition_occurrence
525,HHQE002,procedure_occurrence
526,PAQK007,procedure_occurrence
527,ZZQX034,procedure_occurrence
528,N03AE01,drug_exposure_administration
529,AAQP011,procedure_occurrence
530,B05XA31,drug_exposure_administration
531,A46,condition_occurrence
532,N05BA05,drug_exposure_administration
533,ZZQL016,procedure_occurrence
534,MGQK003,procedure_occurrence
535,N05AN01,drug_exposure_administration
536,QZQ+104,procedure_occurrence
537,A01AB03,drug_exposure_administration
538,I481,condition_occurrence
539,D638,condition_occurrence
540,F1725,condition_occurrence
541,R522,condition_occurrence
542,JAQM003,procedure_occurrence
543,G409,condition_occurrence
544,MDQK001,procedure_occurrence
545,JQGA003,procedure_occurrence
546,EBQM001,procedure_occurrence
547,ALR+298,procedure_occurrence
548,NDQK001,procedure_occurrence
549,ALQP003,procedure_occurrence
550,G8100,condition_occurrence
551,R600,condition_occurrence
552,D02AX,drug_exposure_administration
553,B03AA07,drug_exposure_administration
554,YYYY076,procedure_occurrence
555,K703,condition_occurrence
556,P02CF01,drug_exposure_administration
557,A07AA02,drug_exposure_administration
558,J01XX08,drug_exposure_administration
559,GLQP012,procedure_occurrence
560,GLQD001,procedure_occurrence
561,JAQM004,procedure_occurrence
562,D01AC08,drug_exposure_administration
563,KCFA005,procedure_occurrence
564,AMQP013,procedure_occurrence
565,DEQP005,procedure_occurrence
566,BFGA004,procedure_occurrence
567,E1170,condition_occurrence
568,R91,condition_occurrence
569,K358,condition_occurrence
570,NKR+177,procedure_occurrence
571,I272,condition_occurrence
572,F17202,condition_occurrence
573,A07AA11,drug_exposure_administration
574,Z6030,condition_occurrence
575,Z092,condition_occurrence
576,HSQ+107,procedure_occurrence
577,PCM+064,procedure_occurrence
578,N05CF02,drug_exposure_administration
579,C01CA17,drug_exposure_administration
580,F321,condition_occurrence
581,YYYY405,procedure_occurrence
582,A01AB12,drug_exposure_administration
583,ZGT+094,procedure_occurrence
584,G935,condition_occurrence
585,G819,condition_occurrence
586,N178,condition_occurrence
587,R4700,condition_occurrence
588,ALM+167,procedure_occurrence
589,E6694,condition_occurrence
590,QZJA011,procedure_occurrence
591,K566,condition_occurrence
592,I694,condition_occurrence
593,MFQK002,procedure_occurrence
594,ZZQX116,procedure_occurrence
595,J05AH02,drug_exposure_administration
596,K219,condition_occurrence
597,ZZQX149,procedure_occurrence
598,C10AB05,drug_exposure_administration
599,G04CX02,drug_exposure_administration
600,C01EB17,drug_exposure_administration
601,N07BC02,drug_exposure_administration
602,R18,condition_occurrence
603,R55,condition_occurrence
604,PER+223,procedure_occurrence
605,C20,condition_occurrence
606,J02AX04,drug_exposure_administration
607,J80,condition_occurrence
608,J01FA10,drug_exposure_administration
609,I200,condition_occurrence
610,T796,condition_occurrence
611,GLLD002,procedure_occurrence
612,R03DC03,drug_exposure_administration
613,E038,condition_occurrence
614,ANM+009,procedure_occurrence
615,I252,condition_occurrence
616,J01AA02,drug_exposure_administration
617,S01ED01,drug_exposure_administration
618,A10AC01,drug_exposure_administration
619,B05AA01,drug_exposure_administration
620,G04BD08,drug_exposure_administration
621,ZZC+221,procedure_occurrence
622,A10AB06,drug_exposure_administration
623,PZE+057,procedure_occurrence
624,Z515,condition_occurrence
625,R4028,condition_occurrence
626,PEE+175,procedure_occurrence
627,P01AX06,drug_exposure_administration
628,ZZLB004,procedure_occurrence
629,I420,condition_occurrence
630,HFFC018,procedure_occurrence
631,Z5912,condition_occurrence
632,F03,condition_occurrence
633,HLQM001,procedure_occurrence
634,E6603,condition_occurrence
635,N410,condition_occurrence
636,K564,condition_occurrence
637,O700,condition_occurrence
638,R03AK08,drug_exposure_administration
639,GLQF001,procedure_occurrence
640,ANQ+126,procedure_occurrence
641,C03BA11,drug_exposure_administration
642,B956,condition_occurrence
643,GEQX002,procedure_occurrence
644,A03FA03,drug_exposure_administration
645,ALR+004,procedure_occurrence
646,ZGT+031,procedure_occurrence
647,R03BA01,drug_exposure_administration
648,E6693,condition_occurrence
649,J04AC01,drug_exposure_administration
650,R400,condition_occurrence
651,G35,condition_occurrence
652,R529,condition_occurrence
653,A10AD05,drug_exposure_administration
654,D696,condition_occurrence
655,N170,condition_occurrence
656,Z509,condition_occurrence
657,R05,condition_occurrence
658,C09DA06,drug_exposure_administration
659,R572,condition_occurrence
660,Z991+1,condition_occurrence
661,T814,condition_occurrence
662,EQLF001,procedure_occurrence
663,B01AA07,drug_exposure_administration
664,R03BB04,drug_exposure_administration
665,H03BB01,drug_exposure_administration
666,C900,condition_occurrence
667,LAQK013,procedure_occurrence
668,EJQM003,procedure_occurrence
669,ZZQK024,procedure_occurrence
670,GLLD006,procedure_occurrence
671,N07XX06,drug_exposure_administration
672,Z853,condition_occurrence
673,U822+1,condition_occurrence
674,JJFJ001,procedure_occurrence
675,O680,condition_occurrence
676,U0714,condition_occurrence
677,Z000,condition_occurrence
678,ALQP006,procedure_occurrence
679,J01CA17,drug_exposure_administration
680,GEQE004,procedure_occurrence
681,ZZNL063,procedure_occurrence
682,ZZQX092,procedure_occurrence
683,N23,condition_occurrence
684,EJQM004,procedure_occurrence
685,B9688,condition_occurrence
686,B05XA09,drug_exposure_administration
687,DEQP004,procedure_occurrence
688,N184,condition_occurrence
689,A415,condition_occurrence
690,G821,condition_occurrence
691,ZZR+018,procedure_occurrence
692,S7210,condition_occurrence
693,D695,condition_occurrence
694,J440,condition_occurrence
695,Z8671,condition_occurrence
696,S01BA01,drug_exposure_administration
697,NBQK001,procedure_occurrence
698,I693,condition_occurrence
699,ZGQ+046,procedure_occurrence
700,ZGT+251,procedure_occurrence
701,YYYY290,procedure_occurrence
702,E789,condition_occurrence
703,HMQJ001,procedure_occurrence
704,G811,condition_occurrence
705,E8358,condition_occurrence
706,EFQM001,procedure_occurrence
707,GEHD001,procedure_occurrence
708,E441,condition_occurrence
709,M03CA01,drug_exposure_administration
710,H251,condition_occurrence
711,ZZR+238,procedure_occurrence
712,M4806,condition_occurrence
713,ANR+200,procedure_occurrence
714,Z590,condition_occurrence
715,C10AC01,drug_exposure_administration
716,C56,condition_occurrence
717,YYYY270,procedure_occurrence
718,JNQD001,procedure_occurrence
719,GEQE007,procedure_occurrence
720,I313,condition_occurrence
721,Z115,condition_occurrence
722,C01CA03,drug_exposure_administration
723,JAQM002,procedure_occurrence
724,M5456,condition_occurrence
725,J981,condition_occurrence
726,J841,condition_occurrence
727,J05AF10,drug_exposure_administration
728,R630,condition_occurrence
729,D570,condition_occurrence
730,N083,condition_occurrence
731,K625,condition_occurrence
732,Z609,condition_occurrence
733,C341,condition_occurrence
734,L03AA02,drug_exposure_administration
735,S01AA21,drug_exposure_administration
736,B05XA03,drug_exposure_administration
737,K573,condition_occurrence
738,Y95,condition_occurrence
739,I652,condition_occurrence
740,E782,condition_occurrence
741,J91,condition_occurrence
742,K746,condition_occurrence
743,ALT+074,procedure_occurrence
744,Z952,condition_occurrence
745,B24+9,condition_occurrence
746,Z923,condition_occurrence
747,ZZQX180,procedure_occurrence
748,L04AX01,drug_exposure_administration
749,J01GB03,drug_exposure_administration
750,H360,condition_occurrence
751,L02BG04,drug_exposure_administration
752,EAQH002,procedure_occurrence
753,Z922,condition_occurrence
754,A10AE06,drug_exposure_administration
755,E109,condition_occurrence
756,ZZLP030,procedure_occurrence
757,I872,condition_occurrence
758,EBLA003,procedure_occurrence
759,E611,condition_occurrence
760,M04AA03,drug_exposure_administration
761,M45,condition_occurrence
762,JGFC001,procedure_occurrence
763,ZZR+145,procedure_occurrence
764,MDQK002,procedure_occurrence
765,I256,condition_occurrence
766,YYYY200,procedure_occurrence
767,R570,condition_occurrence
768,G936,condition_occurrence
769,C64,condition_occurrence
770,EBQM003,procedure_occurrence
771,E46,condition_occurrence
772,C09BA04,drug_exposure_administration
773,I340,condition_occurrence
774,C08CA05,drug_exposure_administration
775,ECQH011,procedure_occurrence
776,AMQP009,procedure_occurrence
777,R03AC13,drug_exposure_administration
778,F1025,condition_occurrence
779,F0670,condition_occurrence
780,ANM+093,procedure_occurrence
781,L97,condition_occurrence
782,N200,condition_occurrence
783,LMMA012,procedure_occurrence
784,U0712,condition_occurrence
785,PEQ+038,procedure_occurrence
786,R418,condition_occurrence
787,C679,condition_occurrence
788,J02AC04,drug_exposure_administration
789,J04AK01,drug_exposure_administration
790,C793,condition_occurrence
791,GKR+255,procedure_occurrence
792,R31,condition_occurrence
793,DDMA008,procedure_occurrence
794,ZZNL054,procedure_occurrence
795,E6695,condition_occurrence
796,DKR+200,procedure_occurrence
797,I499,condition_occurrence
798,E1120,condition_occurrence
799,C719,condition_occurrence
800,Z093,condition_occurrence
801,S4220,condition_occurrence
802,E1128,condition_occurrence
803,R740,condition_occurrence
804,R000,condition_occurrence
805,ZZQ+184,procedure_occurrence
806,Z926,condition_occurrence
807,A07EC02,drug_exposure_administration
808,ZZM+092,procedure_occurrence
809,J441,condition_occurrence
810,NDQK002,procedure_occurrence
811,ZZQ+243,procedure_occurrence
812,N07CA01,drug_exposure_administration
813,PCR+088,procedure_occurrence
814,C07AB08,drug_exposure_administration
815,C220,condition_occurrence
816,R590,condition_occurrence
817,W170,condition_occurrence
818,A10AD04,drug_exposure_administration
819,LHQN001,procedure_occurrence
820,R651,condition_occurrence
821,FEJF002,procedure_occurrence
822,Z452,condition_occurrence
823,I5000,condition_occurrence
824,A02BC01,drug_exposure_administration
825,N04BB01,drug_exposure_administration
826,N182,condition_occurrence
827,K921,condition_occurrence
828,L01EC02,drug_exposure_administration
829,C189+8,condition_occurrence
830,S5250,condition_occurrence
831,Z951,condition_occurrence
832,ZZQK002,procedure_occurrence
833,C01DX16,drug_exposure_administration
834,B952,condition_occurrence
835,Z507,condition_occurrence
836,N05AA02,drug_exposure_administration
837,T424,condition_occurrence
838,HSQ+197,procedure_occurrence
839,C07AB02,drug_exposure_administration
840,F419,condition_occurrence
841,A07AA12,drug_exposure_administration
842,N01BB09,drug_exposure_administration
843,I633,condition_occurrence
844,LDQK001,procedure_occurrence
845,D630,condition_occurrence
846,A07AA10,drug_exposure_administration
847,J01DF01,drug_exposure_administration
848,MCCA005,procedure_occurrence
849,G632,condition_occurrence
850,ANR+265,procedure_occurrence
851,D07AD01,drug_exposure_administration
852,O990,condition_occurrence
853,M01AE02,drug_exposure_administration
854,HHFE006,procedure_occurrence
855,I7021,condition_occurrence
856,NBCA006,procedure_occurrence
857,ZZQX123,procedure_occurrence
858,M511,condition_occurrence
859,I5009,condition_occurrence
860,R102,condition_occurrence
